Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
0,0,0,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,135
1,0,0,28.655655,200,200,240,3.40E+38,3.40E+38,0,0,0,0,200,135
2,0,0,31.952667,200,200,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,200,90
3,0,0,30.984497,175,175,360,3.40E+38,3.40E+38,0,25,0,5.72E-06,200,135
4,0,0,25,175,175,360,3.40E+38,3.40E+38,0,0,0,0,175,135
5,0,0,25,175,175,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,175,135
0,0,1,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,1,28.655655,200,200,240,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
2,0,1,31.952667,200,200,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,200,138.33333
3,0,1,30.984497,175,175,360,3.40E+38,3.40E+38,0,25,0,5.72E-06,200,328.3333
4,0,1,25,175,175,360,3.40E+38,3.40E+38,0,0,0,0,175,358.54166
5,0,1,25,175,175,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,175,358.54166
0,0,2,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,2,28.655655,200,200,240,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
2,0,2,31.952667,200,200,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,200,138.33333
3,0,2,30.984497,175,175,360,3.40E+38,3.40E+38,0,25,0,5.72E-06,200,328.3333
4,0,2,25,175,175,360,3.40E+38,3.40E+38,0,0,0,0,175,358.54166
5,0,2,25,175,175,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,175,358.54166
0,0,3,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,3,28.655655,200,200,240,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
2,0,3,31.952667,200,200,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,200,138.33333
3,0,3,30.984497,175,175,360,3.40E+38,3.40E+38,0,25,0,5.72E-06,200,328.3333
4,0,3,25,175,175,360,3.40E+38,3.40E+38,0,0,0,0,175,358.54166
5,0,3,25,175,175,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,175,358.54166
0,0,4,28.655655,200,200,360,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
1,0,4,28.655655,200,200,240,3.40E+38,3.40E+38,0,0,0,0,200,328.3333
2,0,4,31.952667,200,200,360,3.40E+38,3.40E+38,0,0,0,3.81E-06,200,138.33333
3,0,4,30.984497,175,175,360,3.40E+38,3.40E+38,0,25,0,5.72E-06,200,328.3333
4,0,4,25,175,175,360,3.40E+38,3.40E+38,0,0,0,0,175,358.54166
5,0,4,25,175,175,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,175,358.54166
0,1,0,36.12149,245,245,360,3.40E+38,3.40E+38,0,0,0,0,245,328.3333
1,1,0,41.12149,240,245,240,3.40E+38,3.40E+38,0,0,0,4.9999924,240,328.3333
2,1,0,45,240,240,360,3.40E+38,3.40E+38,0,0,0,0,240,138.33333
3,1,0,37.191223,215.51021,215.51021,360,3.40E+38,3.40E+38,0,24.489796,0,0,240,328.3333
4,1,0,30.993286,215.51021,215.51021,360,3.40E+38,3.40E+38,0,0,0,0,215.51021,358.54166
5,1,0,30.993286,215.51021,215.51021,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,215.51021,358.54166
0,1,1,36.12149,245,245,360,338.8785,3.40E+38,0,0,0,0,245,273.9583
1,1,1,62.921494,223.2,250,223.2,3.40E+38,3.40E+38,0,0,0,26.799995,223.2,280
2,1,1,45.000015,223.2,223.2,360,3.40E+38,3.40E+38,0,0,0,1.53E-05,223.2,68.17203
3,1,1,37.19124,200.42448,200.42448,360,3.40E+38,3.40E+38,0,22.77551,0,7.63E-06,223.2,280
4,1,1,30.993286,200.42448,200.42448,360,3.40E+38,3.40E+38,0,0,0,0,200.42448,309.59183
5,1,1,30.993286,200.42448,200.42448,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,200.42448,309.59183
